Date,H/A,Opponent,Attendance
17/8/2019,A,Borussia Dortmund,"81,365"
24/8/2019,H,1. FC Union Berlin,"27,703"
1/9/2019,A,Werder Bremen,"40,041"
14/9/2019,H,Eintracht Frankfurt,"28,513"
21/9/2019,A,SC Freiburg,"23,800"
28/9/2019,H,Bayer 04 Leverkusen,"27,113"
6/10/2019,A,Borussia Mönchengladbach,"50,352"
19/10/2019,H,Bayern Munich,"30,660"
27/10/2019,A,VfL Wolfsburg,"22,630"
3/11/2019,H,FC Schalke 04,"30,361"
9/11/2019,A,SC Paderborn 07,"13,758"
24/11/2019,H,Hertha Berlin,"29,233"
30/11/2019,A,1. FC Köln,"49,200"
7/12/2019,H,Mainz 05,"26,950"
13/12/2019,A,1899 Hoffenheim,"23,309"
17/12/2019,H,Fortuna Düsseldorf,"27,763"
21/12/2019,A,RB Leipzig,"40,562"
18/1/2020,H,Borussia Dortmund,"30,660"
25/1/2020,A,1. FC Union Berlin,"22,012"
1/2/2020,H,Werder Bremen,"29,432"
7/2/2020,A,Eintracht Frankfurt,"48,800"
15/2/2020,H,SC Freiburg,"26,822"
23/2/2020,A,Bayer 04 Leverkusen,"23,703"
29/2/2020,H,Borussia Mönchengladbach,"29,303"
8/3/2020,A,Bayern Munich,"75,000"
16/5/2020,H,VfL Wolfsburg,n/a
24/5/2020,A,FC Schalke 04,n/a
27/5/2020,H,SC Paderborn 07,n/a
30/5/2020,A,Hertha Berlin,n/a
7/6/2020,H,1. FC Köln,n/a
14/6/2020,A,Mainz 05,n/a
17/6/2020,H,1899 Hoffenheim,n/a
20/6/2020,A,Fortuna Düsseldorf,n/a
27/6/2020,H,RB Leipzig,n/a
