Date,H/A,Opponent,Attendance
17/8/2019,A,SC Freiburg,"24,000"
24/8/2019,H,Borussia Mönchengladbach,"28,005"
31/8/2019,A,Bayern Munich,"75,000"
14/9/2019,H,Hertha Berlin,"22,798"
20/9/2019,A,FC Schalke 04,"58,687"
28/9/2019,H,VfL Wolfsburg,"24,303"
5/10/2019,A,SC Paderborn 07,"14,217"
19/10/2019,A,Fortuna Düsseldorf,"40,660"
25/10/2019,H,1. FC Köln,"31,999"
2/11/2019,A,RB Leipzig,"38,517"
9/11/2019,H,1. FC Union Berlin,"24,349"
24/11/2019,A,1899 Hoffenheim,"23,129"
2/12/2019,H,Eintracht Frankfurt,"33,134"
7/12/2019,A,FC Augsburg,"26,950"
14/12/2019,H,Borussia Dortmund,"33,305"
17/12/2019,A,Werder Bremen,"37,720"
21/12/2019,H,Bayer 04 Leverkusen,"24,345"
18/1/2020,H,SC Freiburg,"23,138"
25/1/2020,A,Borussia Mönchengladbach,"49,175"
1/2/2020,H,Bayern Munich,"33,305"
8/2/2020,A,Hertha Berlin,"35,049"
16/2/2020,H,FC Schalke 04,"27,482"
23/2/2020,A,VfL Wolfsburg,"21,058"
29/2/2020,H,SC Paderborn 07,"24,231"
8/3/2020,H,Fortuna Düsseldorf,"21,409"
17/5/2020,A,1. FC Köln,n/a
24/5/2020,H,RB Leipzig,n/a
27/5/2020,A,1. FC Union Berlin,n/a
30/5/2020,H,1899 Hoffenheim,n/a
6/6/2020,A,Eintracht Frankfurt,n/a
14/6/2020,H,FC Augsburg,n/a
17/6/2020,A,Borussia Dortmund,n/a
20/6/2020,H,Werder Bremen,n/a
27/6/2020,A,Bayer 04 Leverkusen,n/a
