Date,H/A,Opponent,Attendance
18/8/2019,A,1. FC Union Berlin,"22,467"
25/8/2019,H,Eintracht Frankfurt,"40,108"
30/8/2019,A,Borussia Mönchengladbach,n/a
14/9/2019,H,Bayern Munich,"42,146"
17/9/2019,A,Benfica,"46,460"
21/9/2019,A,Werder Bremen,"40,550"
28/9/2019,H,FC Schalke 04,"42,146"
2/10/2019,H,Lyon,"40,194"
5/10/2019,A,Bayer 04 Leverkusen,"26,355"
19/10/2019,H,VfL Wolfsburg,"39,182"
23/10/2019,H,Zenit St Petersburg,"41,058"
26/10/2019,A,SC Freiburg,"24,000"
2/11/2019,H,Mainz 05,"38,517"
5/11/2019,A,Zenit St Petersburg,"50,452"
9/11/2019,A,Hertha Berlin,"48,532"
23/11/2019,H,1. FC Köln,"42,036"
27/11/2019,H,Benfica,"38,339"
30/11/2019,A,SC Paderborn 07,"13,253"
7/12/2019,H,1899 Hoffenheim,"38,407"
10/12/2019,A,Lyon,"53,288"
14/12/2019,A,Fortuna Düsseldorf,"35,387"
17/12/2019,A,Borussia Dortmund,"80,200"
21/12/2019,H,FC Augsburg,"40,562"
18/1/2020,H,1. FC Union Berlin,"42,146"
25/1/2020,A,Eintracht Frankfurt,"50,300"
1/2/2020,H,Borussia Mönchengladbach,"42,146"
9/2/2020,A,Bayern Munich,"75,000"
15/2/2020,H,Werder Bremen,"41,308"
19/2/2020,A,Tottenham Hotspur,"60,095"
22/2/2020,A,FC Schalke 04,"61,433"
1/3/2020,H,Bayer 04 Leverkusen,"41,216"
7/3/2020,A,VfL Wolfsburg,"27,195"
10/3/2020,H,Tottenham Hotspur,"42,146"
16/5/2020,H,SC Freiburg,n/a
24/5/2020,A,Mainz 05,n/a
27/5/2020,H,Hertha Berlin,n/a
1/6/2020,A,1. FC Köln,n/a
6/6/2020,H,SC Paderborn 07,n/a
12/6/2020,A,1899 Hoffenheim,n/a
17/6/2020,H,Fortuna Düsseldorf,n/a
20/6/2020,H,Borussia Dortmund,n/a
27/6/2020,A,FC Augsburg,n/a
