Date,H/A,Opponent,Attendance
17/8/2019,H,Mainz 05,"24,000"
24/8/2019,A,SC Paderborn 07,"14,322"
31/8/2019,H,1. FC Köln,"24,000"
15/9/2019,A,1899 Hoffenheim,"29,395"
21/9/2019,H,FC Augsburg,"23,800"
29/9/2019,A,Fortuna Düsseldorf,"39,244"
5/10/2019,H,Borussia Dortmund,"24,000"
19/10/2019,A,1. FC Union Berlin,"22,012"
26/10/2019,H,RB Leipzig,"24,000"
2/11/2019,A,Werder Bremen,"41,000"
10/11/2019,H,Eintracht Frankfurt,"24,000"
23/11/2019,A,Bayer 04 Leverkusen,"29,032"
1/12/2019,A,Borussia Mönchengladbach,"51,080"
7/12/2019,H,VfL Wolfsburg,"23,800"
14/12/2019,A,Hertha Berlin,"37,343"
18/12/2019,H,Bayern Munich,"24,000"
21/12/2019,A,FC Schalke 04,"61,867"
18/1/2020,A,Mainz 05,"23,138"
25/1/2020,H,SC Paderborn 07,"23,500"
2/2/2020,A,1. FC Köln,"50,000"
8/2/2020,H,1899 Hoffenheim,"24,000"
15/2/2020,A,FC Augsburg,"26,822"
22/2/2020,H,Fortuna Düsseldorf,"24,000"
29/2/2020,A,Borussia Dortmund,"81,365"
7/3/2020,H,1. FC Union Berlin,"24,000"
16/5/2020,A,RB Leipzig,n/a
23/5/2020,H,Werder Bremen,n/a
26/5/2020,A,Eintracht Frankfurt,n/a
29/5/2020,H,Bayer 04 Leverkusen,n/a
5/6/2020,H,Borussia Mönchengladbach,n/a
13/6/2020,A,VfL Wolfsburg,n/a
16/6/2020,H,Hertha Berlin,n/a
20/6/2020,A,Bayern Munich,n/a
27/6/2020,H,FC Schalke 04,n/a
