Date,H/A,Opponent,Attendance
17/8/2019,A,Bayer 04 Leverkusen,"26,208"
24/8/2019,H,SC Freiburg,"14,322"
31/8/2019,A,VfL Wolfsburg,"23,750"
15/9/2019,H,FC Schalke 04,"15,000"
21/9/2019,A,Hertha Berlin,"43,588"
28/9/2019,H,Bayern Munich,"15,000"
5/10/2019,H,Mainz 05,"14,217"
20/10/2019,A,1. FC Köln,"50,000"
26/10/2019,H,Fortuna Düsseldorf,"14,182"
1/11/2019,A,1899 Hoffenheim,"23,629"
9/11/2019,H,FC Augsburg,"13,758"
22/11/2019,A,Borussia Dortmund,"81,365"
30/11/2019,H,RB Leipzig,"13,253"
8/12/2019,A,Werder Bremen,"39,870"
14/12/2019,H,1. FC Union Berlin,"14,414"
18/12/2019,A,Borussia Mönchengladbach,"44,494"
22/12/2019,H,Eintracht Frankfurt,"15,000"
19/1/2020,H,Bayer 04 Leverkusen,"14,889"
25/1/2020,A,SC Freiburg,"23,500"
2/2/2020,H,VfL Wolfsburg,"13,926"
8/2/2020,A,FC Schalke 04,"61,614"
15/2/2020,H,Hertha Berlin,"14,687"
21/2/2020,A,Bayern Munich,"75,000"
29/2/2020,A,Mainz 05,"24,231"
6/3/2020,H,1. FC Köln,"15,000"
16/5/2020,A,Fortuna Düsseldorf,n/a
23/5/2020,H,1899 Hoffenheim,n/a
27/5/2020,A,FC Augsburg,n/a
31/5/2020,H,Borussia Dortmund,n/a
6/6/2020,A,RB Leipzig,n/a
13/6/2020,H,Werder Bremen,n/a
16/6/2020,A,1. FC Union Berlin,n/a
20/6/2020,H,Borussia Mönchengladbach,n/a
27/6/2020,A,Eintracht Frankfurt,n/a
