Date,H/A,Opponent,Attendance
17/8/2019,H,1. FC Köln,"25,099"
25/8/2019,A,Hertha Berlin,"42,738"
31/8/2019,H,SC Paderborn 07,"23,750"
13/9/2019,A,Fortuna Düsseldorf,"36,758"
19/9/2019,H,Oleksandriya,"10,112"
23/9/2019,H,1899 Hoffenheim,"21,120"
28/9/2019,A,Mainz 05,"24,303"
3/10/2019,A,Saint Étienne,"24,815"
3/10/2019,H,Roma,"11,169"
6/10/2019,H,1. FC Union Berlin,"27,012"
19/10/2019,A,RB Leipzig,"39,182"
24/10/2019,A,KAA Gent,"15,437"
24/10/2019,A,?stanbul Ba?ak?ehir,"4,101"
27/10/2019,H,FC Augsburg,"22,630"
2/11/2019,A,Borussia Dortmund,"80,200"
7/11/2019,H,KAA Gent,"11,620"
7/11/2019,H,?stanbul Ba?ak?ehir,"5,286"
10/11/2019,H,Bayer 04 Leverkusen,"24,112"
23/11/2019,A,Eintracht Frankfurt,"50,700"
28/11/2019,A,Oleksandriya,n/a
28/11/2019,H,Borussia Mönchengladbach,n/a
1/12/2019,H,Werder Bremen,"26,012"
7/12/2019,A,SC Freiburg,"23,800"
12/12/2019,H,Saint Étienne,"10,802"
12/12/2019,A,Roma,"21,672"
15/12/2019,H,Borussia Mönchengladbach,"25,580"
18/12/2019,H,FC Schalke 04,"24,651"
21/12/2019,A,Bayern Munich,"75,000"
18/1/2020,A,1. FC Köln,"49,100"
25/1/2020,H,Hertha Berlin,"24,894"
2/2/2020,A,SC Paderborn 07,"13,926"
8/2/2020,H,Fortuna Düsseldorf,"23,445"
15/2/2020,A,1899 Hoffenheim,"22,506"
20/2/2020,H,Malmö FF,"13,801"
23/2/2020,H,Mainz 05,"21,058"
27/2/2020,A,Malmö FF,n/a
1/3/2020,A,1. FC Union Berlin,"22,012"
7/3/2020,H,RB Leipzig,"27,195"
12/3/2020,H,Shakhtar Donetsk,n/a
16/5/2020,A,FC Augsburg,n/a
23/5/2020,H,Borussia Dortmund,n/a
26/5/2020,A,Bayer 04 Leverkusen,n/a
30/5/2020,H,Eintracht Frankfurt,n/a
7/6/2020,A,Werder Bremen,n/a
13/6/2020,H,SC Freiburg,n/a
16/6/2020,A,Borussia Mönchengladbach,n/a
20/6/2020,A,FC Schalke 04,n/a
27/6/2020,H,Bayern Munich,n/a
