Date,H/A,Opponent,Attendance
17/8/2019,H,Fortuna Düsseldorf,"42,100"
24/8/2019,A,1899 Hoffenheim,"27,333"
1/9/2019,H,FC Augsburg,"40,041"
14/9/2019,A,1. FC Union Berlin,"22,012"
21/9/2019,H,RB Leipzig,"40,550"
28/9/2019,A,Borussia Dortmund,"81,365"
6/10/2019,A,Eintracht Frankfurt,"51,500"
19/10/2019,H,Hertha Berlin,"41,447"
26/10/2019,A,Bayer 04 Leverkusen,"30,210"
2/11/2019,H,SC Freiburg,"41,000"
10/11/2019,A,Borussia Mönchengladbach,"54,022"
23/11/2019,H,FC Schalke 04,"42,100"
1/12/2019,A,VfL Wolfsburg,"26,012"
8/12/2019,H,SC Paderborn 07,"39,870"
14/12/2019,A,Bayern Munich,"75,000"
17/12/2019,H,Mainz 05,"37,720"
21/12/2019,A,1. FC Köln,"50,000"
18/1/2020,A,Fortuna Düsseldorf,"46,000"
26/1/2020,H,1899 Hoffenheim,"40,000"
1/2/2020,A,FC Augsburg,"29,432"
8/2/2020,H,1. FC Union Berlin,"42,100"
15/2/2020,A,RB Leipzig,"41,308"
22/2/2020,H,Borussia Dortmund,"42,100"
7/3/2020,A,Hertha Berlin,"58,028"
18/5/2020,H,Bayer 04 Leverkusen,n/a
23/5/2020,A,SC Freiburg,n/a
26/5/2020,H,Borussia Mönchengladbach,n/a
30/5/2020,A,FC Schalke 04,n/a
3/6/2020,H,Eintracht Frankfurt,n/a
7/6/2020,H,VfL Wolfsburg,n/a
13/6/2020,A,SC Paderborn 07,n/a
16/6/2020,H,Bayern Munich,n/a
20/6/2020,A,Mainz 05,n/a
27/6/2020,H,1. FC Köln,n/a
