Date,H/A,Opponent,Attendance
16/8/2019,H,Hertha Berlin,"75,000"
24/8/2019,A,FC Schalke 04,"62,271"
31/8/2019,H,Mainz 05,"75,000"
14/9/2019,A,RB Leipzig,"42,146"
18/9/2019,H,Crvena Zvezda,n/a
18/9/2019,H,Red Star Belgrade,"70,000"
21/9/2019,H,1. FC Köln,"75,000"
28/9/2019,A,SC Paderborn 07,"15,000"
1/10/2019,A,Tottenham Hotspur,"60,127"
5/10/2019,H,1899 Hoffenheim,"75,000"
19/10/2019,A,FC Augsburg,"30,660"
22/10/2019,A,Olympiakos,"31,670"
26/10/2019,H,1. FC Union Berlin,"75,000"
2/11/2019,A,Eintracht Frankfurt,"51,500"
6/11/2019,H,Olympiakos,"63,646"
9/11/2019,H,Borussia Dortmund,"75,000"
23/11/2019,A,Fortuna Düsseldorf,"53,000"
26/11/2019,A,Crvena Zvezda,n/a
26/11/2019,A,Red Star Belgrade,"44,118"
30/11/2019,H,Bayer 04 Leverkusen,"75,000"
7/12/2019,A,Borussia Mönchengladbach,"54,022"
11/12/2019,H,Tottenham Hotspur,"66,353"
14/12/2019,H,Werder Bremen,"75,000"
18/12/2019,A,SC Freiburg,"24,000"
21/12/2019,H,VfL Wolfsburg,"75,000"
19/1/2020,A,Hertha Berlin,"74,667"
25/1/2020,H,FC Schalke 04,"75,000"
1/2/2020,A,Mainz 05,"33,305"
9/2/2020,H,RB Leipzig,"75,000"
16/2/2020,A,1. FC Köln,"50,000"
21/2/2020,H,SC Paderborn 07,"75,000"
25/2/2020,A,Chelsea,n/a
29/2/2020,A,1899 Hoffenheim,"30,150"
8/3/2020,H,FC Augsburg,"75,000"
17/5/2020,A,1. FC Union Berlin,n/a
23/5/2020,H,Eintracht Frankfurt,n/a
26/5/2020,A,Borussia Dortmund,n/a
30/5/2020,H,Fortuna Düsseldorf,n/a
6/6/2020,A,Bayer 04 Leverkusen,n/a
13/6/2020,H,Borussia Mönchengladbach,n/a
16/6/2020,A,Werder Bremen,n/a
20/6/2020,H,SC Freiburg,n/a
27/6/2020,A,VfL Wolfsburg,n/a
