Date,H/A,Opponent,Attendance
17/8/2019,H,FC Augsburg,"81,365"
23/8/2019,A,1. FC Köln,"50,000"
31/8/2019,A,1. FC Union Berlin,"22,467"
14/9/2019,H,Bayer 04 Leverkusen,"81,365"
17/9/2019,H,Barcelona,"66,099"
22/9/2019,A,Eintracht Frankfurt,"51,500"
28/9/2019,H,Werder Bremen,"81,365"
2/10/2019,A,Slavia Prague,"19,370"
5/10/2019,A,SC Freiburg,"24,000"
19/10/2019,H,Borussia Mönchengladbach,"81,365"
23/10/2019,A,Inter Milan,"65,000"
26/10/2019,A,FC Schalke 04,"61,873"
2/11/2019,H,VfL Wolfsburg,"80,200"
5/11/2019,H,Inter Milan,"66,099"
9/11/2019,A,Bayern Munich,"75,000"
22/11/2019,H,SC Paderborn 07,"81,365"
27/11/2019,A,Barcelona,"90,071"
30/11/2019,A,Hertha Berlin,"74,667"
7/12/2019,H,Fortuna Düsseldorf,"81,365"
10/12/2019,H,Slavia Prague,"65,079"
14/12/2019,A,Mainz 05,"33,305"
17/12/2019,H,RB Leipzig,"80,200"
20/12/2019,A,1899 Hoffenheim,"30,150"
18/1/2020,A,FC Augsburg,"30,660"
24/1/2020,H,1. FC Köln,"81,365"
1/2/2020,H,1. FC Union Berlin,"81,365"
8/2/2020,A,Bayer 04 Leverkusen,"30,210"
14/2/2020,H,Eintracht Frankfurt,"81,365"
18/2/2020,H,Paris St Germain,"66,099"
22/2/2020,A,Werder Bremen,"42,100"
29/2/2020,H,SC Freiburg,"81,365"
7/3/2020,A,Borussia Mönchengladbach,"54,022"
11/3/2020,A,Paris St Germain,n/a
16/5/2020,H,FC Schalke 04,n/a
23/5/2020,A,VfL Wolfsburg,n/a
26/5/2020,H,Bayern Munich,n/a
31/5/2020,A,SC Paderborn 07,n/a
6/6/2020,H,Hertha Berlin,n/a
13/6/2020,A,Fortuna Düsseldorf,n/a
17/6/2020,H,Mainz 05,n/a
20/6/2020,A,RB Leipzig,n/a
27/6/2020,H,1899 Hoffenheim,n/a
