Date,H/A,Opponent,Attendance
25/7/2019,A,FC Flora Tallinn,n/a
1/8/2019,H,FC Flora Tallinn,"48,000"
8/8/2019,A,FC Vaduz,"5,908"
15/8/2019,H,FC Vaduz,"48,000"
18/8/2019,H,1899 Hoffenheim,"50,200"
22/8/2019,A,Strasbourg,"21,708"
25/8/2019,A,RB Leipzig,"40,108"
29/8/2019,H,Strasbourg,"47,000"
1/9/2019,H,Fortuna Düsseldorf,"49,800"
14/9/2019,A,FC Augsburg,"28,513"
19/9/2019,H,Arsenal,"47,000"
22/9/2019,H,Borussia Dortmund,"51,500"
27/9/2019,A,1. FC Union Berlin,"22,012"
3/10/2019,A,Vitória Guimarães,"15,187"
6/10/2019,H,Werder Bremen,"51,500"
18/10/2019,H,Bayer 04 Leverkusen,"50,800"
24/10/2019,H,Standard Liège,"47,000"
27/10/2019,A,Borussia Mönchengladbach,"52,300"
2/11/2019,H,Bayern Munich,"51,500"
7/11/2019,A,Standard Liège,"15,952"
10/11/2019,A,SC Freiburg,"24,000"
23/11/2019,H,VfL Wolfsburg,"50,700"
28/11/2019,A,Arsenal,n/a
2/12/2019,A,Mainz 05,"33,134"
6/12/2019,H,Hertha Berlin,"50,000"
12/12/2019,H,Vitória Guimarães,"47,000"
15/12/2019,A,FC Schalke 04,"60,811"
18/12/2019,H,1. FC Köln,"50,300"
22/12/2019,A,SC Paderborn 07,"15,000"
18/1/2020,A,1899 Hoffenheim,"29,610"
25/1/2020,H,RB Leipzig,"50,300"
1/2/2020,A,Fortuna Düsseldorf,"45,018"
7/2/2020,H,FC Augsburg,"48,800"
14/2/2020,A,Borussia Dortmund,"81,365"
20/2/2020,H,SV Red Bull Salzburg,"47,000"
24/2/2020,H,1. FC Union Berlin,"47,000"
28/2/2020,A,SV Red Bull Salzburg,n/a
7/3/2020,A,Bayer 04 Leverkusen,"30,210"
12/3/2020,H,Basel,n/a
16/5/2020,H,Borussia Mönchengladbach,n/a
23/5/2020,A,Bayern Munich,n/a
26/5/2020,H,SC Freiburg,n/a
30/5/2020,A,VfL Wolfsburg,n/a
3/6/2020,A,Werder Bremen,n/a
6/6/2020,H,Mainz 05,n/a
13/6/2020,A,Hertha Berlin,n/a
17/6/2020,H,FC Schalke 04,n/a
20/6/2020,A,1. FC Köln,n/a
27/6/2020,H,SC Paderborn 07,n/a
