Date,H/A,Opponent,Attendance
17/8/2019,A,VfL Wolfsburg,"25,099"
23/8/2019,H,Borussia Dortmund,"50,000"
31/8/2019,A,SC Freiburg,"24,000"
14/9/2019,H,Borussia Mönchengladbach,"50,000"
21/9/2019,A,Bayern Munich,"75,000"
29/9/2019,H,Hertha Berlin,"49,700"
5/10/2019,A,FC Schalke 04,"61,883"
20/10/2019,H,SC Paderborn 07,"50,000"
25/10/2019,A,Mainz 05,"31,999"
3/11/2019,A,Fortuna Düsseldorf,"51,155"
8/11/2019,H,1899 Hoffenheim,"49,100"
23/11/2019,A,RB Leipzig,"42,036"
30/11/2019,H,FC Augsburg,"49,200"
8/12/2019,A,1. FC Union Berlin,"22,012"
14/12/2019,H,Bayer 04 Leverkusen,"49,500"
18/12/2019,A,Eintracht Frankfurt,"50,300"
21/12/2019,H,Werder Bremen,"50,000"
18/1/2020,H,VfL Wolfsburg,"49,100"
24/1/2020,A,Borussia Dortmund,"81,365"
2/2/2020,H,SC Freiburg,"50,000"
16/2/2020,H,Bayern Munich,"50,000"
22/2/2020,A,Hertha Berlin,"46,207"
29/2/2020,H,FC Schalke 04,"50,000"
6/3/2020,A,SC Paderborn 07,"15,000"
11/3/2020,A,Borussia Mönchengladbach,n/a
17/5/2020,H,Mainz 05,n/a
24/5/2020,H,Fortuna Düsseldorf,n/a
27/5/2020,A,1899 Hoffenheim,n/a
1/6/2020,H,RB Leipzig,n/a
7/6/2020,A,FC Augsburg,n/a
13/6/2020,H,1. FC Union Berlin,n/a
17/6/2020,A,Bayer 04 Leverkusen,n/a
20/6/2020,H,Eintracht Frankfurt,n/a
27/6/2020,A,Werder Bremen,n/a
