Date,H/A,Opponent,Attendance
17/8/2019,A,Werder Bremen,"42,100"
24/8/2019,H,Bayer 04 Leverkusen,"44,538"
1/9/2019,A,Eintracht Frankfurt,"49,800"
13/9/2019,H,VfL Wolfsburg,"36,758"
22/9/2019,A,Borussia Mönchengladbach,"52,413"
29/9/2019,H,SC Freiburg,"39,244"
4/10/2019,A,Hertha Berlin,"37,128"
19/10/2019,H,Mainz 05,"40,660"
26/10/2019,A,SC Paderborn 07,"14,182"
3/11/2019,H,1. FC Köln,"51,155"
9/11/2019,A,FC Schalke 04,"61,831"
23/11/2019,H,Bayern Munich,"53,000"
30/11/2019,A,1899 Hoffenheim,"25,427"
7/12/2019,A,Borussia Dortmund,"81,365"
14/12/2019,H,RB Leipzig,"35,387"
17/12/2019,A,FC Augsburg,"27,763"
22/12/2019,H,1. FC Union Berlin,"45,490"
18/1/2020,H,Werder Bremen,"46,000"
26/1/2020,A,Bayer 04 Leverkusen,"26,250"
1/2/2020,H,Eintracht Frankfurt,"45,018"
8/2/2020,A,VfL Wolfsburg,"23,445"
15/2/2020,H,Borussia Mönchengladbach,"51,000"
22/2/2020,A,SC Freiburg,"24,000"
28/2/2020,H,Hertha Berlin,"31,632"
8/3/2020,A,Mainz 05,"21,409"
16/5/2020,H,SC Paderborn 07,n/a
24/5/2020,A,1. FC Köln,n/a
27/5/2020,H,FC Schalke 04,n/a
30/5/2020,A,Bayern Munich,n/a
6/6/2020,H,1899 Hoffenheim,n/a
13/6/2020,H,Borussia Dortmund,n/a
17/6/2020,A,RB Leipzig,n/a
20/6/2020,H,FC Augsburg,n/a
27/6/2020,A,1. FC Union Berlin,n/a
