Date,H/A,Opponent,Attendance
17/8/2019,H,FC Schalke 04,"54,022"
24/8/2019,A,Mainz 05,"28,005"
30/8/2019,H,RB Leipzig,n/a
14/9/2019,A,1. FC Köln,"50,000"
19/9/2019,H,RZ Pellets WAC,n/a
22/9/2019,H,Fortuna Düsseldorf,"52,413"
28/9/2019,A,1899 Hoffenheim,"29,030"
3/10/2019,A,?stanbul Ba?ak?ehir,"5,646"
6/10/2019,H,FC Augsburg,"50,352"
19/10/2019,A,Borussia Dortmund,"81,365"
24/10/2019,A,Roma,"29,037"
27/10/2019,H,Eintracht Frankfurt,"52,300"
2/11/2019,A,Bayer 04 Leverkusen,"30,210"
7/11/2019,H,Roma,"44,570"
10/11/2019,H,Werder Bremen,"54,022"
23/11/2019,A,1. FC Union Berlin,"22,012"
28/11/2019,A,RZ Pellets WAC,n/a
28/11/2019,A,VfL Wolfsburg,n/a
1/12/2019,H,SC Freiburg,"51,080"
7/12/2019,H,Bayern Munich,"54,022"
12/12/2019,H,?stanbul Ba?ak?ehir,"40,046"
15/12/2019,A,VfL Wolfsburg,"25,580"
18/12/2019,H,SC Paderborn 07,"44,494"
21/12/2019,A,Hertha Berlin,"50,208"
17/1/2020,A,FC Schalke 04,"62,271"
25/1/2020,H,Mainz 05,"49,175"
1/2/2020,A,RB Leipzig,"42,146"
15/2/2020,A,Fortuna Düsseldorf,"51,000"
22/2/2020,H,1899 Hoffenheim,"50,250"
29/2/2020,A,FC Augsburg,"29,303"
7/3/2020,H,Borussia Dortmund,"54,022"
11/3/2020,H,1. FC Köln,n/a
16/5/2020,A,Eintracht Frankfurt,n/a
23/5/2020,H,Bayer 04 Leverkusen,n/a
26/5/2020,A,Werder Bremen,n/a
31/5/2020,H,1. FC Union Berlin,n/a
5/6/2020,A,SC Freiburg,n/a
13/6/2020,A,Bayern Munich,n/a
16/6/2020,H,VfL Wolfsburg,n/a
20/6/2020,A,SC Paderborn 07,n/a
27/6/2020,H,Hertha Berlin,n/a
