Date,H/A,Opponent,Attendance
16/8/2019,A,Bayern Munich,"75,000"
25/8/2019,H,VfL Wolfsburg,"42,738"
31/8/2019,A,FC Schalke 04,"58,875"
14/9/2019,A,Mainz 05,"22,798"
21/9/2019,H,SC Paderborn 07,"43,588"
29/9/2019,A,1. FC Köln,"49,700"
4/10/2019,H,Fortuna Düsseldorf,"37,128"
19/10/2019,A,Werder Bremen,"41,447"
26/10/2019,H,1899 Hoffenheim,"44,702"
2/11/2019,A,1. FC Union Berlin,"22,012"
9/11/2019,H,RB Leipzig,"48,532"
24/11/2019,A,FC Augsburg,"29,233"
30/11/2019,H,Borussia Dortmund,"74,667"
6/12/2019,A,Eintracht Frankfurt,"50,000"
14/12/2019,H,SC Freiburg,"37,343"
18/12/2019,A,Bayer 04 Leverkusen,"24,472"
21/12/2019,H,Borussia Mönchengladbach,"50,208"
19/1/2020,H,Bayern Munich,"74,667"
25/1/2020,A,VfL Wolfsburg,"24,894"
31/1/2020,H,FC Schalke 04,"47,863"
8/2/2020,H,Mainz 05,"35,049"
15/2/2020,A,SC Paderborn 07,"14,687"
22/2/2020,H,1. FC Köln,"46,207"
28/2/2020,A,Fortuna Düsseldorf,"31,632"
7/3/2020,H,Werder Bremen,"58,028"
16/5/2020,A,1899 Hoffenheim,n/a
22/5/2020,H,1. FC Union Berlin,n/a
27/5/2020,A,RB Leipzig,n/a
30/5/2020,H,FC Augsburg,n/a
6/6/2020,A,Borussia Dortmund,n/a
13/6/2020,H,Eintracht Frankfurt,n/a
16/6/2020,A,SC Freiburg,n/a
20/6/2020,H,Bayer 04 Leverkusen,n/a
27/6/2020,A,Borussia Mönchengladbach,n/a
