Date,H/A,Opponent,Attendance
18/8/2019,A,Eintracht Frankfurt,"50,200"
24/8/2019,H,Werder Bremen,"27,333"
31/8/2019,A,Bayer 04 Leverkusen,"26,506"
15/9/2019,H,SC Freiburg,"29,395"
23/9/2019,A,VfL Wolfsburg,"21,120"
28/9/2019,H,Borussia Mönchengladbach,"29,030"
5/10/2019,A,Bayern Munich,"75,000"
20/10/2019,H,FC Schalke 04,"29,477"
26/10/2019,A,Hertha Berlin,"44,702"
1/11/2019,H,SC Paderborn 07,"23,629"
8/11/2019,A,1. FC Köln,"49,100"
24/11/2019,H,Mainz 05,"23,129"
30/11/2019,H,Fortuna Düsseldorf,"25,427"
7/12/2019,A,RB Leipzig,"38,407"
13/12/2019,H,FC Augsburg,"23,309"
17/12/2019,A,1. FC Union Berlin,"20,350"
20/12/2019,H,Borussia Dortmund,"30,150"
18/1/2020,H,Eintracht Frankfurt,"29,610"
26/1/2020,A,Werder Bremen,"40,000"
1/2/2020,H,Bayer 04 Leverkusen,"24,489"
8/2/2020,A,SC Freiburg,"24,000"
15/2/2020,H,VfL Wolfsburg,"22,506"
22/2/2020,A,Borussia Mönchengladbach,"50,250"
29/2/2020,H,Bayern Munich,"30,150"
7/3/2020,A,FC Schalke 04,"58,324"
16/5/2020,H,Hertha Berlin,n/a
23/5/2020,A,SC Paderborn 07,n/a
27/5/2020,H,1. FC Köln,n/a
30/5/2020,A,Mainz 05,n/a
6/6/2020,A,Fortuna Düsseldorf,n/a
12/6/2020,H,RB Leipzig,n/a
17/6/2020,A,FC Augsburg,n/a
20/6/2020,H,1. FC Union Berlin,n/a
27/6/2020,A,Borussia Dortmund,n/a
