Date,H/A,Opponent,Attendance
17/8/2019,H,SC Paderborn 07,"26,208"
24/8/2019,A,Fortuna Düsseldorf,"44,538"
31/8/2019,H,1899 Hoffenheim,"26,506"
14/9/2019,A,Borussia Dortmund,"81,365"
18/9/2019,H,Lokomotiv Moscow,"26,592"
21/9/2019,H,1. FC Union Berlin,"27,430"
28/9/2019,A,FC Augsburg,"27,113"
1/10/2019,A,Juventus,"34,525"
5/10/2019,H,RB Leipzig,"26,355"
18/10/2019,A,Eintracht Frankfurt,"50,800"
22/10/2019,A,Atlético Madrid,"56,776"
26/10/2019,H,Werder Bremen,"30,210"
2/11/2019,H,Borussia Mönchengladbach,"30,210"
6/11/2019,H,Atlético Madrid,"28,160"
10/11/2019,A,VfL Wolfsburg,"24,112"
23/11/2019,H,SC Freiburg,"29,032"
26/11/2019,A,Lokomotiv Moscow,"25,757"
30/11/2019,A,Bayern Munich,"75,000"
7/12/2019,H,FC Schalke 04,"30,210"
11/12/2019,H,Juventus,"29,542"
14/12/2019,A,1. FC Köln,"49,500"
18/12/2019,H,Hertha Berlin,"24,472"
21/12/2019,A,Mainz 05,"24,345"
19/1/2020,A,SC Paderborn 07,"14,889"
26/1/2020,H,Fortuna Düsseldorf,"26,250"
1/2/2020,A,1899 Hoffenheim,"24,489"
8/2/2020,H,Borussia Dortmund,"30,210"
15/2/2020,A,1. FC Union Berlin,"22,012"
20/2/2020,H,FC Porto,"26,839"
23/2/2020,H,FC Augsburg,"23,703"
27/2/2020,A,FC Porto,n/a
1/3/2020,A,RB Leipzig,"41,216"
7/3/2020,H,Eintracht Frankfurt,"30,210"
12/3/2020,A,Rangers,n/a
18/5/2020,A,Werder Bremen,n/a
23/5/2020,A,Borussia Mönchengladbach,n/a
26/5/2020,H,VfL Wolfsburg,n/a
29/5/2020,A,SC Freiburg,n/a
6/6/2020,H,Bayern Munich,n/a
14/6/2020,A,FC Schalke 04,n/a
17/6/2020,H,1. FC Köln,n/a
20/6/2020,A,Hertha Berlin,n/a
27/6/2020,H,Mainz 05,n/a
