Date,H/A,Opponent,Attendance
17/8/2019,A,Borussia Mönchengladbach,"54,022"
24/8/2019,H,Bayern Munich,"62,271"
31/8/2019,H,Hertha Berlin,"58,875"
15/9/2019,A,SC Paderborn 07,"15,000"
20/9/2019,H,Mainz 05,"58,687"
28/9/2019,A,RB Leipzig,"42,146"
5/10/2019,H,1. FC Köln,"61,883"
20/10/2019,A,1899 Hoffenheim,"29,477"
26/10/2019,H,Borussia Dortmund,"61,873"
3/11/2019,A,FC Augsburg,"30,361"
9/11/2019,H,Fortuna Düsseldorf,"61,831"
23/11/2019,A,Werder Bremen,"42,100"
29/11/2019,H,1. FC Union Berlin,"61,837"
7/12/2019,A,Bayer 04 Leverkusen,"30,210"
15/12/2019,H,Eintracht Frankfurt,"60,811"
18/12/2019,A,VfL Wolfsburg,"24,651"
21/12/2019,H,SC Freiburg,"61,867"
17/1/2020,H,Borussia Mönchengladbach,"62,271"
25/1/2020,A,Bayern Munich,"75,000"
31/1/2020,A,Hertha Berlin,"47,863"
8/2/2020,H,SC Paderborn 07,"61,614"
16/2/2020,A,Mainz 05,"27,482"
22/2/2020,H,RB Leipzig,"61,433"
29/2/2020,A,1. FC Köln,"50,000"
7/3/2020,H,1899 Hoffenheim,"58,324"
16/5/2020,A,Borussia Dortmund,n/a
24/5/2020,H,FC Augsburg,n/a
27/5/2020,A,Fortuna Düsseldorf,n/a
30/5/2020,H,Werder Bremen,n/a
7/6/2020,A,1. FC Union Berlin,n/a
14/6/2020,H,Bayer 04 Leverkusen,n/a
17/6/2020,A,Eintracht Frankfurt,n/a
20/6/2020,H,VfL Wolfsburg,n/a
27/6/2020,A,SC Freiburg,n/a
