"Date","Opponent","Attendance"
"11/8/2019","Newcastle United","47635"
"24/8/2019","Liverpool","53298"
"15/9/2019","Watford","21360"
"19/9/2019","Eintracht Frankfurt","47000"
"30/9/2019","Manchester United","73201"
"21/10/2019","Sheffield United","30775"
"30/10/2019","Liverpool","52694"
"6/11/2019","Vitória Guimarães",""
"9/11/2019","Leicester City","32209"
"1/12/2019","Norwich City","27067"
"9/12/2019","West Ham United","59936"
"12/12/2019","Standard Liège","21797"
"21/12/2019","Everton","39336"
"26/12/2019","AFC Bournemouth","10234"
"11/1/2020","Crystal Palace","25468"
"21/1/2020","Chelsea","40577"
"27/1/2020","AFC Bournemouth","10308"
"2/2/2020","Burnley","21048"
"20/2/2020","Olympiakos","31456"
"2/3/2020","Portsmouth","18839"
"17/6/2020","Manchester City",""
"20/6/2020","Brighton & Hove Albion",""
"25/6/2020","Southampton",""
"28/6/2020","Sheffield United",""
"4/7/2020","Wolverhampton Wanderers",""
"12/7/2020","Tottenham Hotspur",""
