"Date","Opponent","Attendance"
"10/8/2019","Tottenham Hotspur","60407"
"27/8/2019","Crewe Alexandra","7173"
"28/8/2019","Crewe Alexandra",""
"31/8/2019","Crystal Palace",""
"22/9/2019","Arsenal","60331"
"25/9/2019","Brighton & Hove Albion","14982"
"5/10/2019","Norwich City","27045"
"26/10/2019","Manchester City","54506"
"10/11/2019","Wolverhampton Wanderers","31607"
"1/12/2019","Manchester United","73381"
"4/12/2019","Chelsea","40628"
"14/12/2019","Sheffield United","30396"
"28/12/2019","Watford","21348"
"1/1/2020","Burnley","19561"
"4/1/2020","Fulham","12980"
"8/1/2020","Leicester City","31280"
"18/1/2020","Brighton & Hove Albion","30551"
"1/2/2020","AFC Bournemouth","10722"
"22/2/2020","Southampton","31478"
"9/3/2020","Leicester City","32125"
"24/6/2020","Newcastle United",""
"5/7/2020","Liverpool",""
"16/7/2020","Everton",""
