"Date","Opponent","Attendance"
"17/8/2019","Aston Villa","40996"
"31/8/2019","Leicester City","31613"
"20/9/2019","Southampton","30168"
"25/9/2019","Burton Albion","2505"
"6/10/2019","Arsenal","60326"
"26/10/2019","Watford","20821"
"9/11/2019","Newcastle United","44424"
"30/11/2019","Tottenham Hotspur","59626"
"3/12/2019","Crystal Palace","23497"
"14/12/2019","Chelsea","40243"
"28/12/2019","Brighton & Hove Albion","30441"
"1/1/2020","West Ham United","59917"
"18/1/2020","Norwich City","26781"
"9/2/2020","Sheffield United","30361"
"22/2/2020","Burnley","18227"
"7/3/2020","Liverpool","53323"
"24/6/2020","Wolverhampton Wanderers",""
"4/7/2020","Manchester United",""
"15/7/2020","Manchester City",""
