"Date","Opponent","Attendance"
"10/8/2019","Watford","20245"
"27/8/2019","Bristol Rovers","5864"
"31/8/2019","Manchester City","54386"
"21/9/2019","Newcastle United","43360"
"28/9/2019","Chelsea","40683"
"19/10/2019","Aston Villa","41826"
"10/11/2019","Manchester United","73556"
"19/11/2019","Hastings United","361"
"30/11/2019","Liverpool","53319"
"5/12/2019","Arsenal","60164"
"16/12/2019","Crystal Palace","24175"
"26/12/2019","Tottenham Hotspur","56308"
"11/1/2020","Everton","38772"
"21/1/2020","AFC Bournemouth","10065"
"22/1/2020","Burgess Hill Town","272"
"1/2/2020","West Ham United","59952"
"19/2/2020","Bognor Regis Town",""
"22/2/2020","Sheffield United","31888"
"7/3/2020","Wolverhampton Wanderers","31490"
"23/6/2020","Leicester City",""
"4/7/2020","Norwich City",""
