"Date","Opponent","Attendance"
"17/8/2019","Arsenal","60214"
"25/8/2019","Wolverhampton Wanderers","30522"
"14/9/2019","Brighton & Hove Albion","29398"
"28/9/2019","Aston Villa","41546"
"19/10/2019","Leicester City","32105"
"2/11/2019","Sheffield United","31131"
"23/11/2019","Watford","19711"
"7/12/2019","Tottenham Hotspur","58401"
"21/12/2019","AFC Bournemouth","10020"
"26/12/2019","Everton","39177"
"11/1/2020","Chelsea","40396"
"22/1/2020","Manchester United","73198"
"15/2/2020","Southampton","26302"
"29/2/2020","Newcastle United","52219"
"22/6/2020","Manchester City",""
"29/6/2020","Crystal Palace",""
"8/7/2020","West Ham United",""
"11/7/2020","Liverpool",""
