"Date","Opponent","Attendance"
"11/8/2019","Manchester United","73620"
"14/8/2019","Liverpool","38434"
"24/8/2019","Norwich City","27032"
"14/9/2019","Wolverhampton Wanderers","31534"
"2/10/2019","Lille","48523"
"6/10/2019","Southampton","31473"
"23/10/2019","Ajax","52482"
"26/10/2019","Burnley","20975"
"2/11/2019","Watford","21011"
"23/11/2019","Manchester City","54486"
"27/11/2019","Valencia","43486"
"7/12/2019","Everton","39114"
"22/12/2019","Tottenham Hotspur","61104"
"29/12/2019","Arsenal","60309"
"1/1/2020","Brighton & Hove Albion","30559"
"18/1/2020","Newcastle United","52217"
"25/1/2020","Hull City","24109"
"1/2/2020","Leicester City","32186"
"29/2/2020","AFC Bournemouth","10667"
"21/6/2020","Aston Villa",""
"28/6/2020","Leicester City",""
"1/7/2020","West Ham United",""
"7/7/2020","Crystal Palace",""
"11/7/2020","Sheffield United",""
