"Date","Opponent","Attendance"
"18/8/2019","Sheffield United","30197"
"24/8/2019","Manchester United","73454"
"14/9/2019","Tottenham Hotspur","59812"
"5/10/2019","West Ham United","59912"
"27/10/2019","Arsenal","60345"
"9/11/2019","Chelsea","40525"
"30/11/2019","Burnley","19818"
"7/12/2019","Watford","20070"
"21/12/2019","Newcastle United","45453"
"28/12/2019","Southampton","31108"
"1/1/2020","Norwich City","27021"
"18/1/2020","Manchester City","54439"
"8/2/2020","Everton","38987"
"29/2/2020","Brighton & Hove Albion",""
"20/6/2020","AFC Bournemouth",""
"24/6/2020","Liverpool",""
"4/7/2020","Leicester City",""
"12/7/2020","Aston Villa",""
