"Date","Opponent","Attendance"
"10/8/2019","Crystal Palace","25151"
"23/8/2019","Aston Villa","41922"
"28/8/2019","Lincoln City","9971"
"15/9/2019","AFC Bournemouth","10416"
"22/9/2019","Birmingham City Women",""
"24/9/2019","Sheffield Wednesday","21485"
"5/10/2019","Burnley","20650"
"26/10/2019","Brighton & Hove Albion","30529"
"9/11/2019","Southampton","29754"
"1/12/2019","Leicester City","32144"
"4/12/2019","Liverpool","53094"
"15/12/2019","Manchester United","63328"
"28/12/2019","Newcastle United","52211"
"1/1/2020","Manchester City","54407"
"5/1/2020","Liverpool","52583"
"18/1/2020","West Ham United","59915"
"28/1/2020","City of Liverpool","621"
"1/2/2020","Watford","21229"
"23/2/2020","Arsenal","60296"
"8/3/2020","Chelsea","40694"
"24/6/2020","Norwich City",""
"6/7/2020","Tottenham Hotspur",""
"12/7/2020","Wolverhampton Wanderers",""
