"Date","Opponent","Attendance"
"18/8/2019","Chelsea","40629"
"24/8/2019","Sheffield United","30079"
"28/8/2019","Newcastle United","22727"
"14/9/2019","Manchester United","73689"
"24/9/2019","Luton Town","8260"
"5/10/2019","Liverpool",""
"25/10/2019","Southampton","28762"
"29/10/2019","Burton Albion","6186"
"3/11/2019","Crystal Palace","25480"
"23/11/2019","Brighton & Hove Albion","30640"
"8/12/2019","Aston Villa","41908"
"18/12/2019","Everton","39027"
"21/12/2019","Manchester City","54415"
"28/12/2019","West Ham United","59919"
"1/1/2020","Newcastle United","52178"
"19/1/2020","Burnley","19788"
"25/1/2020","Brentford","12221"
"28/1/2020","Aston Villa","39300"
"14/2/2020","Wolverhampton Wanderers","31682"
"28/2/2020","Norwich City","27010"
"20/6/2020","Watford",""
"1/7/2020","Everton",""
"7/7/2020","Arsenal",""
"12/7/2020","AFC Bournemouth",""
