"Date","Opponent","Attendance"
"17/8/2019","Southampton","31712"
"31/8/2019","Burnley","21762"
"17/9/2019","Napoli","38878"
"22/9/2019","Chelsea","40638"
"25/9/2019","Milton Keynes Dons","28521"
"28/9/2019","Sheffield United","31774"
"20/10/2019","Manchester United","73737"
"23/10/2019","KRC Genk","19626"
"2/11/2019","Aston Villa","41878"
"23/11/2019","Crystal Palace","25486"
"7/12/2019","AFC Bournemouth","10832"
"10/12/2019","SV Red Bull Salzburg",""
"17/12/2019","Aston Villa","30323"
"18/12/2019","Monterrey",""
"21/12/2019","Monterrey",""
"26/12/2019","Leicester City","32211"
"11/1/2020","Tottenham Hotspur","61023"
"23/1/2020","Wolverhampton Wanderers","31746"
"26/1/2020","Shrewsbury Town",""
"29/1/2020","West Ham United","59959"
"15/2/2020","Norwich City","27110"
"18/2/2020","Atlético Madrid","67443"
"29/2/2020","Watford","21634"
"3/3/2020","Chelsea","40103"
"21/6/2020","Everton",""
"2/7/2020","Manchester City",""
"8/7/2020","Brighton & Hove Albion",""
"15/7/2020","Arsenal",""
