"Date","Opponent","Attendance"
"10/8/2019","West Ham United","59870"
"25/8/2019","AFC Bournemouth","10486"
"14/9/2019","Norwich City","27035"
"18/9/2019","Shakhtar Donetsk","36675"
"24/9/2019","Preston North End","22025"
"28/9/2019","Everton","39222"
"19/10/2019","Crystal Palace","25480"
"6/11/2019","Atalanta","32147"
"10/11/2019","Liverpool","53324"
"30/11/2019","Newcastle United","49937"
"3/12/2019","Burnley","20101"
"11/12/2019","Dinamo Zagreb","29385"
"15/12/2019","Arsenal","60031"
"18/12/2019","Oxford United","11817"
"27/12/2019","Wolverhampton Wanderers","31737"
"7/1/2020","Manchester United","69023"
"12/1/2020","Aston Villa","41823"
"21/1/2020","Sheffield United","31285"
"2/2/2020","Tottenham Hotspur","61022"
"22/2/2020","Leicester City","32068"
"26/2/2020","Real Madrid","75615"
"1/3/2020","Aston Villa","82145"
"4/3/2020","Sheffield Wednesday","20995"
"8/3/2020","Manchester United","73288"
"25/6/2020","Chelsea",""
"28/6/2020","Newcastle United",""
"5/7/2020","Southampton",""
"11/7/2020","Brighton & Hove Albion",""
