"Date","Opponent","Attendance"
"19/8/2019","Wolverhampton Wanderers","31314"
"31/8/2019","Southampton","30499"
"22/9/2019","West Ham United","59936"
"3/10/2019","AZ Alkmaar","13863"
"6/10/2019","Newcastle United","51198"
"24/10/2019","FK Partizan","25627"
"27/10/2019","Norwich City","27108"
"30/10/2019","Chelsea","38645"
"2/11/2019","AFC Bournemouth","10669"
"24/11/2019","Sheffield United","32024"
"28/11/2019","Astana",""
"7/12/2019","Manchester City","54403"
"22/12/2019","Watford","21488"
"28/12/2019","Burnley","21924"
"1/1/2020","Arsenal","60328"
"4/1/2020","Wolverhampton Wanderers","31381"
"19/1/2020","Liverpool","52916"
"26/1/2020","Tranmere Rovers",""
"29/1/2020","Manchester City",""
"17/2/2020","Chelsea","40504"
"20/2/2020","Club Brugge","27006"
"1/3/2020","Everton","39374"
"5/3/2020","Derby County","31379"
"12/3/2020","LASK Linz",""
"19/6/2020","Tottenham Hotspur",""
"27/6/2020","Norwich City",""
"30/6/2020","Brighton & Hove Albion",""
"9/7/2020","Aston Villa",""
