"Date","Opponent","Attendance"
"17/8/2019","Norwich City","27059"
"25/8/2019","Tottenham Hotspur","59245"
"14/9/2019","Liverpool","51430"
"29/9/2019","Leicester City","32168"
"19/10/2019","Chelsea","40513"
"2/11/2019","West Ham United","59907"
"25/11/2019","Aston Villa","41821"
"5/12/2019","Sheffield United","30409"
"14/12/2019","Burnley","19798"
"26/12/2019","Manchester United","73206"
"4/1/2020","Rochdale","8593"
"11/1/2020","Wolverhampton Wanderers","31570"
"21/1/2020","Everton","38822"
"4/2/2020","Oxford United","11520"
"16/2/2020","Arsenal","60188"
"22/2/2020","Crystal Palace","25486"
"3/3/2020","West Bromwich Albion",""
"7/3/2020","Southampton","30096"
"1/7/2020","AFC Bournemouth",""
"8/7/2020","Manchester City",""
"11/7/2020","Watford",""
