"Date","Opponent","Attendance"
"9/8/2019","Liverpool","53333"
"27/8/2019","Crawley Town","5109"
"31/8/2019","West Ham United","59950"
"21/9/2019","Burnley","19712"
"28/9/2019","Crystal Palace",""
"19/10/2019","AFC Bournemouth","10669"
"2/11/2019","Brighton & Hove Albion","30539"
"23/11/2019","Everton","39241"
"4/12/2019","Southampton","27019"
"14/12/2019","Leicester City","32101"
"26/12/2019","Aston Villa","41289"
"4/1/2020","Preston North End","7616"
"11/1/2020","Manchester United","73271"
"22/1/2020","Tottenham Hotspur","58182"
"25/1/2020","Burnley","8071"
"1/2/2020","Newcastle United","52204"
"23/2/2020","Wolverhampton Wanderers","31046"
"4/3/2020","Tottenham Hotspur","58007"
"7/3/2020","Sheffield United","31379"
"1/7/2020","Arsenal",""
"7/7/2020","Watford",""
"14/7/2020","Chelsea",""
