"Date","Opponent","Attendance"
"10/8/2019","AFC Bournemouth","10714"
"31/8/2019","Chelsea","40560"
"21/9/2019","Everton","39354"
"5/10/2019","Watford",""
"26/10/2019","West Ham United","59878"
"9/11/2019","Tottenham Hotspur","59781"
"1/12/2019","Wolverhampton Wanderers","31642"
"8/12/2019","Norwich City","26881"
"21/12/2019","Brighton & Hove Albion","30505"
"29/12/2019","Manchester City","54512"
"2/1/2020","Liverpool","53321"
"18/1/2020","Arsenal","60310"
"25/1/2020","Millwall","12653"
"1/2/2020","Crystal Palace","25170"
"3/3/2020","Reading","15129"
"17/6/2020","Aston Villa",""
"21/6/2020","Newcastle United",""
"24/6/2020","Manchester United",""
"5/7/2020","Burnley",""
"16/7/2020","Leicester City",""
