"Date","Opponent","Attendance"
"10/8/2019","Burnley","19784"
"24/8/2019","Brighton & Hove Albion","30019"
"27/8/2019","Fulham","8467"
"14/9/2019","Sheffield United","30985"
"24/9/2019","Portsmouth","18707"
"28/9/2019","Tottenham Hotspur","59645"
"19/10/2019","Wolverhampton Wanderers","30915"
"29/10/2019","Manchester City",""
"2/11/2019","Manchester City","53922"
"23/11/2019","Arsenal","60295"
"8/12/2019","Newcastle United","42303"
"21/12/2019","Aston Villa","41834"
"26/12/2019","Chelsea","40651"
"11/1/2020","Leicester City","32115"
"21/1/2020","Crystal Palace","23739"
"1/2/2020","Liverpool","53291"
"5/2/2020","Tottenham Hotspur","56046"
"29/2/2020","West Ham United","59962"
"19/6/2020","Norwich City",""
"28/6/2020","Watford",""
"9/7/2020","Everton",""
"13/7/2020","Manchester United",""
