"Date","Opponent","Attendance"
"17/8/2019","Manchester City","54503"
"1/9/2019","Arsenal","60333"
"18/9/2019","Olympiakos","31001"
"21/9/2019","Leicester City","32129"
"24/9/2019","Colchester United","9481"
"5/10/2019","Brighton & Hove Albion","30610"
"27/10/2019","Liverpool","53222"
"3/11/2019","Everton","39001"
"6/11/2019","Crvena Zvezda",""
"6/11/2019","Red Star Belgrade","42381"
"23/11/2019","West Ham United","59930"
"4/12/2019","Manchester United","73252"
"11/12/2019","Bayern Munich","66353"
"15/12/2019","Wolverhampton Wanderers","31674"
"28/12/2019","Norwich City","27072"
"1/1/2020","Southampton","30976"
"5/1/2020","Middlesbrough","26693"
"18/1/2020","Watford","21366"
"25/1/2020","Southampton","29282"
"16/2/2020","Aston Villa","41874"
"22/2/2020","Chelsea","40608"
"7/3/2020","Burnley","20496"
"10/3/2020","RB Leipzig","42146"
"2/7/2020","Sheffield United",""
"9/7/2020","AFC Bournemouth",""
"15/7/2020","Newcastle United",""
