"Date","Opponent","Attendance"
"17/8/2019","Everton","39066"
"31/8/2019","Newcastle United","44157"
"21/9/2019","Manchester City","54273"
"28/9/2019","Wolverhampton Wanderers","30711"
"19/10/2019","Tottenham Hotspur","58754"
"29/10/2019","Everton",""
"8/11/2019","Norwich City",""
"30/11/2019","Southampton","26929"
"4/12/2019","Leicester City","31763"
"14/12/2019","Liverpool",""
"26/12/2019","Sheffield United","30222"
"12/1/2020","AFC Bournemouth","10384"
"21/1/2020","Aston Villa","40867"
"23/1/2020","Tranmere Rovers",""
"8/2/2020","Brighton & Hove Albion","30443"
"23/2/2020","Manchester United","73347"
"7/3/2020","Crystal Palace","25461"
"25/6/2020","Burnley",""
"4/7/2020","Chelsea",""
