"Date","Opponent","Attendance"
"17/8/2019","Brighton & Hove Albion","30459"
"24/8/2019","Watford","20035"
"27/8/2019","Newport County","6382"
"16/9/2019","Aston Villa","42010"
"25/9/2019","Oxford United","10450"
"28/9/2019","AFC Bournemouth","10729"
"19/10/2019","Everton","39263"
"9/11/2019","Burnley","20255"
"30/11/2019","Chelsea","40595"
"4/12/2019","Wolverhampton Wanderers","31217"
"14/12/2019","Southampton","27701"
"26/12/2019","Crystal Palace","25462"
"5/1/2020","Gillingham","10913"
"10/1/2020","Sheffield United","30124"
"22/1/2020","Leicester City","31968"
"19/2/2020","Manchester City",""
"24/2/2020","Liverpool","53313"
"7/3/2020","Arsenal","60335"
"23/6/2020","Tottenham Hotspur",""
"5/7/2020","Newcastle United",""
"11/7/2020","Norwich City",""
