"Date","Opponent","Attendance"
"1/8/2019","Crusaders","2700"
"8/8/2019","Pyunik","13050"
"11/8/2019","Leicester City","32015"
"22/8/2019","Torino","24091"
"1/9/2019","Everton","39374"
"22/9/2019","Crystal Palace","25122"
"3/10/2019","Beşiktaş","22670"
"6/10/2019","Manchester City","54435"
"24/10/2019","Slovan Bratislava","20333"
"27/10/2019","Newcastle United","46019"
"30/10/2019","Aston Villa","34962"
"2/11/2019","Arsenal","60383"
"23/11/2019","AFC Bournemouth","10539"
"28/11/2019","Sporting Braga",""
"8/12/2019","Brighton & Hove Albion","30189"
"21/12/2019","Norwich City","27053"
"29/12/2019","Liverpool","53326"
"1/1/2020","Watford","20584"
"15/1/2020","Manchester United","67025"
"18/1/2020","Southampton","31152"
"1/2/2020","Manchester United","73363"
"27/2/2020","Espanyol",""
"1/3/2020","Tottenham Hotspur","58064"
"12/3/2020","Olympiakos",""
"20/6/2020","West Ham United",""
"27/6/2020","Aston Villa",""
"8/7/2020","Sheffield United",""
"15/7/2020","Burnley",""
