,Div,Team,Team ID,Date,Opponent,Attendance
0,E0,Arsenal,EPL0,11/8/2019,Newcastle United,47635.0
1,E0,Arsenal,EPL0,24/8/2019,Liverpool,53298.0
2,E0,Arsenal,EPL0,15/9/2019,Watford,21360.0
3,E0,Arsenal,EPL0,19/9/2019,Eintracht Frankfurt,47000.0
4,E0,Arsenal,EPL0,30/9/2019,Manchester United,73201.0
5,E0,Arsenal,EPL0,21/10/2019,Sheffield United,30775.0
6,E0,Arsenal,EPL0,30/10/2019,Liverpool,52694.0
7,E0,Arsenal,EPL0,6/11/2019,Vitória Guimarães,
8,E0,Arsenal,EPL0,9/11/2019,Leicester City,32209.0
9,E0,Arsenal,EPL0,1/12/2019,Norwich City,27067.0
10,E0,Arsenal,EPL0,9/12/2019,West Ham United,59936.0
11,E0,Arsenal,EPL0,12/12/2019,Standard Liège,21797.0
12,E0,Arsenal,EPL0,21/12/2019,Everton,39336.0
13,E0,Arsenal,EPL0,26/12/2019,AFC Bournemouth,10234.0
14,E0,Arsenal,EPL0,11/1/2020,Crystal Palace,25468.0
15,E0,Arsenal,EPL0,21/1/2020,Chelsea,40577.0
16,E0,Arsenal,EPL0,27/1/2020,AFC Bournemouth,10308.0
17,E0,Arsenal,EPL0,2/2/2020,Burnley,21048.0
18,E0,Arsenal,EPL0,20/2/2020,Olympiakos,31456.0
19,E0,Arsenal,EPL0,2/3/2020,Portsmouth,18839.0
20,E0,Arsenal,EPL0,17/6/2020,Manchester City,
21,E0,Arsenal,EPL0,20/6/2020,Brighton & Hove Albion,
22,E0,Arsenal,EPL0,25/6/2020,Southampton,
23,E0,Arsenal,EPL0,28/6/2020,Sheffield United,
24,E0,Arsenal,EPL0,4/7/2020,Wolverhampton Wanderers,
25,E0,Arsenal,EPL0,12/7/2020,Tottenham Hotspur,
26,E0,Aston,EPL1,10/8/2019,Tottenham Hotspur,60407.0
27,E0,Aston,EPL1,27/8/2019,Crewe Alexandra,7173.0
28,E0,Aston,EPL1,28/8/2019,Crewe Alexandra,
29,E0,Aston,EPL1,31/8/2019,Crystal Palace,
30,E0,Aston,EPL1,22/9/2019,Arsenal,60331.0
31,E0,Aston,EPL1,25/9/2019,Brighton & Hove Albion,14982.0
32,E0,Aston,EPL1,5/10/2019,Norwich City,27045.0
33,E0,Aston,EPL1,26/10/2019,Manchester City,54506.0
34,E0,Aston,EPL1,10/11/2019,Wolverhampton Wanderers,31607.0
35,E0,Aston,EPL1,1/12/2019,Manchester United,73381.0
36,E0,Aston,EPL1,4/12/2019,Chelsea,40628.0
37,E0,Aston,EPL1,14/12/2019,Sheffield United,30396.0
38,E0,Aston,EPL1,28/12/2019,Watford,21348.0
39,E0,Aston,EPL1,1/1/2020,Burnley,19561.0
40,E0,Aston,EPL1,4/1/2020,Fulham,12980.0
41,E0,Aston,EPL1,8/1/2020,Leicester City,31280.0
42,E0,Aston,EPL1,18/1/2020,Brighton & Hove Albion,30551.0
43,E0,Aston,EPL1,1/2/2020,AFC Bournemouth,10722.0
44,E0,Aston,EPL1,22/2/2020,Southampton,31478.0
45,E0,Aston,EPL1,9/3/2020,Leicester City,32125.0
46,E0,Aston,EPL1,24/6/2020,Newcastle United,
47,E0,Aston,EPL1,5/7/2020,Liverpool,
48,E0,Aston,EPL1,16/7/2020,Everton,
49,E0,Bournemouth,EPL2,17/8/2019,Aston Villa,40996.0
50,E0,Bournemouth,EPL2,31/8/2019,Leicester City,31613.0
51,E0,Bournemouth,EPL2,20/9/2019,Southampton,30168.0
52,E0,Bournemouth,EPL2,25/9/2019,Burton Albion,2505.0
53,E0,Bournemouth,EPL2,6/10/2019,Arsenal,60326.0
54,E0,Bournemouth,EPL2,26/10/2019,Watford,20821.0
55,E0,Bournemouth,EPL2,9/11/2019,Newcastle United,44424.0
56,E0,Bournemouth,EPL2,30/11/2019,Tottenham Hotspur,59626.0
57,E0,Bournemouth,EPL2,3/12/2019,Crystal Palace,23497.0
58,E0,Bournemouth,EPL2,14/12/2019,Chelsea,40243.0
59,E0,Bournemouth,EPL2,28/12/2019,Brighton & Hove Albion,30441.0
60,E0,Bournemouth,EPL2,1/1/2020,West Ham United,59917.0
61,E0,Bournemouth,EPL2,18/1/2020,Norwich City,26781.0
62,E0,Bournemouth,EPL2,9/2/2020,Sheffield United,30361.0
63,E0,Bournemouth,EPL2,22/2/2020,Burnley,18227.0
64,E0,Bournemouth,EPL2,7/3/2020,Liverpool,53323.0
65,E0,Bournemouth,EPL2,24/6/2020,Wolverhampton Wanderers,
66,E0,Bournemouth,EPL2,4/7/2020,Manchester United,
67,E0,Bournemouth,EPL2,15/7/2020,Manchester City,
68,E0,Brighton,EPL3,10/8/2019,Watford,20245.0
69,E0,Brighton,EPL3,27/8/2019,Bristol Rovers,5864.0
70,E0,Brighton,EPL3,31/8/2019,Manchester City,54386.0
71,E0,Brighton,EPL3,21/9/2019,Newcastle United,43360.0
