"Date","Opponent","Attendance"
"17/8/2019","Burnley","60214"
"1/9/2019","Tottenham Hotspur","60333"
"22/9/2019","Aston Villa","60331"
"24/9/2019","Nottingham Forest","53160"
"3/10/2019","Standard Liège","58725"
"6/10/2019","AFC Bournemouth","60326"
"24/10/2019","Vitória Guimarães","60195"
"27/10/2019","Crystal Palace","60345"
"2/11/2019","Wolverhampton Wanderers","60383"
"23/11/2019","Southampton","60295"
"28/11/2019","Eintracht Frankfurt",""
"5/12/2019","Brighton & Hove Albion","60164"
"15/12/2019","Manchester City","60031"
"29/12/2019","Chelsea","60309"
"1/1/2020","Manchester United","60328"
"6/1/2020","Leeds United","58403"
"18/1/2020","Sheffield United","60310"
"16/2/2020","Newcastle United","60188"
"23/2/2020","Everton","60296"
"27/2/2020","Olympiakos",""
"7/3/2020","West Ham United","60335"
"1/7/2020","Norwich City",""
"7/7/2020","Leicester City",""
"15/7/2020","Liverpool",""
