"Date","Opponent","Attendance"
"17/8/2019","AFC Bournemouth","40996"
"23/8/2019","Everton","41922"
"16/9/2019","West Ham United","42010"
"28/9/2019","Burnley","41546"
"19/10/2019","Brighton & Hove Albion","41826"
"30/10/2019","Wolverhampton Wanderers","34962"
"2/11/2019","Liverpool","41878"
"25/11/2019","Newcastle United","41821"
"8/12/2019","Leicester City","41908"
"17/12/2019","Liverpool","30323"
"21/12/2019","Southampton","41834"
"26/12/2019","Norwich City","41289"
"12/1/2020","Manchester City","41823"
"21/1/2020","Watford","40867"
"28/1/2020","Leicester City","39300"
"16/2/2020","Tottenham Hotspur","41874"
"1/3/2020","Manchester City","82145"
"17/6/2020","Sheffield United",""
"21/6/2020","Chelsea",""
"27/6/2020","Wolverhampton Wanderers",""
"9/7/2020","Manchester United",""
"12/7/2020","Crystal Palace",""
