"Date","Opponent","Attendance"
"17/8/2019","West Ham United","30459"
"24/8/2019","Southampton","30019"
"14/9/2019","Burnley","29398"
"25/9/2019","Aston Villa","14982"
"5/10/2019","Tottenham Hotspur","30610"
"26/10/2019","Everton","30529"
"2/11/2019","Norwich City","30539"
"23/11/2019","Leicester City","30640"
"8/12/2019","Wolverhampton Wanderers","30189"
"21/12/2019","Sheffield United","30505"
"28/12/2019","AFC Bournemouth","30441"
"1/1/2020","Chelsea","30559"
"4/1/2020","Sheffield Wednesday","20349"
"18/1/2020","Aston Villa","30551"
"8/2/2020","Watford","30443"
"29/2/2020","Crystal Palace",""
"3/3/2020","Worthing","946"
"20/6/2020","Arsenal",""
"30/6/2020","Manchester United",""
"8/7/2020","Liverpool",""
"11/7/2020","Manchester City",""
