"Date","Opponent","Attendance"
"10/8/2019","Southampton","19784"
"28/8/2019","Sunderland","7445"
"31/8/2019","Liverpool","21762"
"21/9/2019","Norwich City","19712"
"5/10/2019","Everton","20650"
"26/10/2019","Chelsea","20975"
"9/11/2019","West Ham United","20255"
"30/11/2019","Crystal Palace","19818"
"3/12/2019","Manchester City","20101"
"14/12/2019","Newcastle United","19798"
"28/12/2019","Manchester United","21924"
"1/1/2020","Aston Villa","19561"
"4/1/2020","Peterborough United","8043"
"19/1/2020","Leicester City","19788"
"25/1/2020","Norwich City","8071"
"2/2/2020","Arsenal","21048"
"22/2/2020","AFC Bournemouth","18227"
"7/3/2020","Tottenham Hotspur","20496"
"25/6/2020","Watford",""
"5/7/2020","Sheffield United",""
"15/7/2020","Wolverhampton Wanderers",""
