"Date","Opponent","Attendance"
"18/8/2019","Leicester City","40629"
"31/8/2019","Sheffield United","40560"
"17/9/2019","Valencia","39469"
"22/9/2019","Liverpool","40638"
"25/9/2019","Grimsby Town","39674"
"28/9/2019","Brighton & Hove Albion","40683"
"19/10/2019","Newcastle United","40513"
"30/10/2019","Manchester United","38645"
"5/11/2019","Ajax","39132"
"9/11/2019","Crystal Palace","40525"
"30/11/2019","West Ham United","40595"
"4/12/2019","Aston Villa","40628"
"10/12/2019","Lille",""
"14/12/2019","AFC Bournemouth","40243"
"26/12/2019","Southampton","40651"
"5/1/2020","Nottingham Forest","40492"
"11/1/2020","Burnley","40396"
"21/1/2020","Arsenal","40577"
"17/2/2020","Manchester United","40504"
"22/2/2020","Tottenham Hotspur","40608"
"25/2/2020","Bayern Munich",""
"3/3/2020","Liverpool","40103"
"8/3/2020","Everton","40694"
"25/6/2020","Manchester City",""
"4/7/2020","Watford",""
"14/7/2020","Norwich City",""
