"Date","Opponent","Attendance"
"10/8/2019","Everton","25151"
"27/8/2019","Colchester United","8898"
"31/8/2019","Aston Villa",""
"22/9/2019","Wolverhampton Wanderers","25122"
"28/9/2019","Norwich City",""
"19/10/2019","Manchester City","25480"
"3/11/2019","Leicester City","25480"
"23/11/2019","Liverpool","25486"
"3/12/2019","AFC Bournemouth","23497"
"16/12/2019","Brighton & Hove Albion","24175"
"26/12/2019","West Ham United","25462"
"5/1/2020","Derby County","15507"
"11/1/2020","Arsenal","25468"
"21/1/2020","Southampton","23739"
"1/2/2020","Sheffield United","25170"
"22/2/2020","Newcastle United","25486"
"7/3/2020","Watford","25461"
"29/6/2020","Burnley",""
"7/7/2020","Chelsea",""
