"Date","Opponent","Attendance"
"17/8/2019","Watford","39066"
"1/9/2019","Wolverhampton Wanderers","39374"
"21/9/2019","Sheffield United","39354"
"28/9/2019","Manchester City","39222"
"19/10/2019","West Ham United","39263"
"29/10/2019","Watford",""
"3/11/2019","Tottenham Hotspur","39001"
"3/11/2019","Manchester United Women",""
"23/11/2019","Norwich City","39241"
"7/12/2019","Chelsea","39114"
"18/12/2019","Leicester City","39027"
"21/12/2019","Arsenal","39336"
"26/12/2019","Burnley","39177"
"11/1/2020","Brighton & Hove Albion","38772"
"21/1/2020","Newcastle United","38822"
"8/2/2020","Crystal Palace","38987"
"1/3/2020","Manchester United","39374"
"21/6/2020","Liverpool",""
"1/7/2020","Leicester City",""
"9/7/2020","Southampton",""
"16/7/2020","Aston Villa",""
