"Date","Opponent","Attendance"
"11/8/2019","Wolverhampton Wanderers","32015"
"31/8/2019","AFC Bournemouth","31613"
"21/9/2019","Tottenham Hotspur","32129"
"29/9/2019","Newcastle United","32168"
"19/10/2019","Burnley","32105"
"9/11/2019","Arsenal","32209"
"1/12/2019","Everton","32144"
"4/12/2019","Watford","31763"
"14/12/2019","Norwich City","32101"
"26/12/2019","Liverpool","32211"
"4/1/2020","Wigan Athletic","30330"
"8/1/2020","Aston Villa","31280"
"11/1/2020","Southampton","32115"
"22/1/2020","West Ham United","31968"
"1/2/2020","Chelsea","32186"
"22/2/2020","Manchester City","32068"
"4/3/2020","Birmingham City","27181"
"9/3/2020","Aston Villa","32125"
"23/6/2020","Brighton & Hove Albion",""
"28/6/2020","Chelsea",""
"4/7/2020","Crystal Palace",""
