"Date","Opponent","Attendance"
"9/8/2019","Norwich City","53333"
"14/8/2019","Chelsea","38434"
"24/8/2019","Arsenal","53298"
"14/9/2019","Newcastle United","51430"
"2/10/2019","SV Red Bull Salzburg","52243"
"5/10/2019","Leicester City",""
"27/10/2019","Tottenham Hotspur","53222"
"30/10/2019","Arsenal","52694"
"5/11/2019","KRC Genk","52611"
"10/11/2019","Manchester City","53324"
"27/11/2019","Napoli","52128"
"30/11/2019","Brighton & Hove Albion","53319"
"4/12/2019","Everton","53094"
"14/12/2019","Watford",""
"21/12/2019","Flamengo",""
"29/12/2019","Wolverhampton Wanderers","53326"
"2/1/2020","Sheffield United","53321"
"5/1/2020","Everton","52583"
"19/1/2020","Manchester United","52916"
"1/2/2020","Southampton","53291"
"4/2/2020","Shrewsbury Town",""
"24/2/2020","West Ham United","53313"
"7/3/2020","AFC Bournemouth","53323"
"11/3/2020","Atlético Madrid","52267"
"24/6/2020","Crystal Palace",""
"5/7/2020","Aston Villa",""
"11/7/2020","Burnley",""
