"Date","Opponent","Attendance"
"17/8/2019","Tottenham Hotspur","54503"
"31/8/2019","Brighton & Hove Albion","54386"
"21/9/2019","Watford","54273"
"1/10/2019","Dinamo Zagreb","49046"
"6/10/2019","Wolverhampton Wanderers","54435"
"22/10/2019","Atalanta","49308"
"26/10/2019","Aston Villa","54506"
"29/10/2019","Southampton",""
"2/11/2019","Southampton","53922"
"23/11/2019","Chelsea","54486"
"26/11/2019","Shakhtar Donetsk","52020"
"7/12/2019","Manchester United","54403"
"21/12/2019","Leicester City","54415"
"29/12/2019","Sheffield United","54512"
"1/1/2020","Everton","54407"
"4/1/2020","Port Vale","52433"
"18/1/2020","Crystal Palace","54439"
"26/1/2020","Fulham","39223"
"29/1/2020","Manchester United",""
"19/2/2020","West Ham United",""
"17/6/2020","Arsenal",""
"22/6/2020","Burnley",""
"2/7/2020","Liverpool",""
"8/7/2020","Newcastle United",""
"15/7/2020","AFC Bournemouth",""
