"Date","Opponent","Attendance"
"11/8/2019","Chelsea","73620"
"24/8/2019","Crystal Palace","73454"
"14/9/2019","Leicester City","73689"
"19/9/2019","Astana","50783"
"25/9/2019","Rochdale","58313"
"30/9/2019","Arsenal","73201"
"20/10/2019","Liverpool","73737"
"7/11/2019","FK Partizan","62955"
"10/11/2019","Brighton & Hove Albion","73556"
"1/12/2019","Aston Villa","73381"
"4/12/2019","Tottenham Hotspur","73252"
"12/12/2019","AZ Alkmaar","65773"
"15/12/2019","Everton","63328"
"18/12/2019","Colchester United","57559"
"26/12/2019","Newcastle United","73206"
"7/1/2020","Manchester City","69023"
"11/1/2020","Norwich City","73271"
"15/1/2020","Wolverhampton Wanderers","67025"
"22/1/2020","Burnley","73198"
"1/2/2020","Wolverhampton Wanderers","73363"
"23/2/2020","Watford","73347"
"27/2/2020","Club Brugge",""
"8/3/2020","Manchester City","73288"
"24/6/2020","Sheffield United",""
"4/7/2020","AFC Bournemouth",""
"13/7/2020","Southampton",""
