"Date","Opponent","Attendance"
"11/8/2019","Arsenal","47635"
"28/8/2019","Leicester City","22727"
"31/8/2019","Watford","44157"
"21/9/2019","Brighton & Hove Albion","43360"
"6/10/2019","Manchester United","51198"
"27/10/2019","Wolverhampton Wanderers","46019"
"9/11/2019","AFC Bournemouth","44424"
"30/11/2019","Manchester City","49937"
"8/12/2019","Southampton","42303"
"21/12/2019","Crystal Palace","45453"
"28/12/2019","Everton","52211"
"1/1/2020","Leicester City","52178"
"14/1/2020","Rochdale","29786"
"18/1/2020","Chelsea","52217"
"25/1/2020","Oxford United","52221"
"1/2/2020","Norwich City","52204"
"29/2/2020","Burnley","52219"
"21/6/2020","Sheffield United",""
"24/6/2020","Aston Villa",""
"28/6/2020","Manchester City",""
"5/7/2020","West Ham United",""
"15/7/2020","Tottenham Hotspur",""
