"Date","Opponent","Attendance"
"17/8/2019","Newcastle United","27059"
"24/8/2019","Chelsea","27032"
"14/9/2019","Manchester City","27035"
"5/10/2019","Aston Villa","27045"
"27/10/2019","Manchester United","27108"
"8/11/2019","Watford",""
"1/12/2019","Arsenal","27067"
"8/12/2019","Sheffield United","26881"
"21/12/2019","Wolverhampton Wanderers","27053"
"28/12/2019","Tottenham Hotspur","27072"
"1/1/2020","Crystal Palace","27021"
"18/1/2020","AFC Bournemouth","26781"
"15/2/2020","Liverpool","27110"
"28/2/2020","Leicester City","27010"
"19/6/2020","Southampton",""
"24/6/2020","Everton",""
"27/6/2020","Manchester United",""
"4/7/2020","Brighton & Hove Albion",""
"11/7/2020","West Ham United",""
