"Date","Opponent","Attendance"
"18/8/2019","Crystal Palace","30197"
"24/8/2019","Leicester City","30079"
"27/8/2019","Blackburn Rovers","9714"
"28/8/2019","Blackburn Rovers",""
"14/9/2019","Southampton","30985"
"25/9/2019","Sunderland","11675"
"28/9/2019","Liverpool","31774"
"21/10/2019","Arsenal","30775"
"2/11/2019","Burnley","31131"
"24/11/2019","Manchester United","32024"
"5/12/2019","Newcastle United","30409"
"14/12/2019","Aston Villa","30396"
"26/12/2019","Watford","30222"
"5/1/2020","AFC Fylde","11133"
"10/1/2020","West Ham United","30124"
"21/1/2020","Manchester City","31285"
"9/2/2020","AFC Bournemouth","30361"
"22/2/2020","Brighton & Hove Albion","31888"
"7/3/2020","Norwich City","31379"
"28/6/2020","Arsenal",""
"2/7/2020","Tottenham Hotspur",""
"8/7/2020","Wolverhampton Wanderers",""
"11/7/2020","Chelsea",""
