"Date","Opponent","Attendance"
"17/8/2019","Liverpool","31712"
"31/8/2019","Manchester United","30499"
"20/9/2019","AFC Bournemouth","30168"
"6/10/2019","Chelsea","31473"
"25/10/2019","Leicester City","28762"
"9/11/2019","Everton","29754"
"30/11/2019","Watford","26929"
"4/12/2019","Norwich City","27019"
"14/12/2019","West Ham United","27701"
"28/12/2019","Crystal Palace","31108"
"1/1/2020","Tottenham Hotspur","30976"
"4/1/2020","Huddersfield Town","20091"
"18/1/2020","Wolverhampton Wanderers","31152"
"25/1/2020","Tottenham Hotspur","29282"
"15/2/2020","Burnley","26302"
"22/2/2020","Aston Villa","31478"
"7/3/2020","Newcastle United","30096"
"25/6/2020","Arsenal",""
"5/7/2020","Manchester City",""
