"Date","Opponent","Attendance"
"10/8/2019","Aston Villa","60407"
"25/8/2019","Newcastle United","59245"
"14/9/2019","Crystal Palace","59812"
"28/9/2019","Southampton","59645"
"1/10/2019","Bayern Munich","60127"
"19/10/2019","Watford","58754"
"22/10/2019","Crvena Zvezda",""
"22/10/2019","Red Star Belgrade","51743"
"9/11/2019","Sheffield United","59781"
"26/11/2019","Olympiakos","57024"
"30/11/2019","AFC Bournemouth","59626"
"7/12/2019","Burnley","58401"
"22/12/2019","Chelsea","61104"
"26/12/2019","Brighton & Hove Albion","56308"
"11/1/2020","Liverpool","61023"
"14/1/2020","Middlesbrough","49202"
"22/1/2020","Norwich City","58182"
"2/2/2020","Manchester City","61022"
"5/2/2020","Southampton","56046"
"19/2/2020","RB Leipzig","60095"
"1/3/2020","Wolverhampton Wanderers","58064"
"4/3/2020","Norwich City","58007"
"19/6/2020","Manchester United",""
"23/6/2020","West Ham United",""
"6/7/2020","Everton",""
"12/7/2020","Arsenal",""
