"Date","Opponent","Attendance"
"10/8/2019","Brighton & Hove Albion","20245"
"24/8/2019","West Ham United","20035"
"27/8/2019","Coventry City","12257"
"15/9/2019","Arsenal","21360"
"24/9/2019","Swansea City","8903"
"5/10/2019","Sheffield United",""
"26/10/2019","AFC Bournemouth","20821"
"2/11/2019","Chelsea","21011"
"23/11/2019","Burnley","19711"
"7/12/2019","Crystal Palace","20070"
"22/12/2019","Manchester United","21488"
"28/12/2019","Aston Villa","21348"
"1/1/2020","Wolverhampton Wanderers","20584"
"4/1/2020","Tranmere Rovers","14373"
"18/1/2020","Tottenham Hotspur","21366"
"1/2/2020","Everton","21229"
"29/2/2020","Liverpool","21634"
"20/6/2020","Leicester City",""
"28/6/2020","Southampton",""
"7/7/2020","Norwich City",""
"11/7/2020","Newcastle United",""
