"Date","Opponent","Attendance"
"10/8/2019","Manchester City","59870"
"31/8/2019","Norwich City","59950"
"22/9/2019","Manchester United","59936"
"5/10/2019","Crystal Palace","59912"
"26/10/2019","Sheffield United","59878"
"2/11/2019","Newcastle United","59907"
"23/11/2019","Tottenham Hotspur","59930"
"9/12/2019","Arsenal","59936"
"28/12/2019","Leicester City","59919"
"1/1/2020","AFC Bournemouth","59917"
"18/1/2020","Everton","59915"
"25/1/2020","West Bromwich Albion","58911"
"29/1/2020","Liverpool","59959"
"1/2/2020","Brighton & Hove Albion","59952"
"29/2/2020","Southampton","59962"
"20/6/2020","Wolverhampton Wanderers",""
"1/7/2020","Chelsea",""
"8/7/2020","Burnley",""
