"Date","Opponent","Attendance"
"25/7/2019","Crusaders",""
"15/8/2019","Pyunik","29391"
"19/8/2019","Manchester United","31314"
"25/8/2019","Burnley","30522"
"29/8/2019","Torino","29222"
"14/9/2019","Chelsea","31534"
"19/9/2019","Sporting Braga","28314"
"25/9/2019","Reading","20702"
"28/9/2019","Watford","30711"
"19/10/2019","Southampton","30915"
"7/11/2019","Slovan Bratislava","29789"
"10/11/2019","Aston Villa","31607"
"1/12/2019","Sheffield United","31642"
"4/12/2019","West Ham United","31217"
"12/12/2019","Beşiktaş","27866"
"15/12/2019","Tottenham Hotspur","31674"
"27/12/2019","Manchester City","31737"
"4/1/2020","Manchester United","31381"
"11/1/2020","Newcastle United","31570"
"23/1/2020","Liverpool","31746"
"14/2/2020","Leicester City","31682"
"20/2/2020","Espanyol","30435"
"23/2/2020","Norwich City","31046"
"7/3/2020","Brighton & Hove Albion","31490"
"24/6/2020","AFC Bournemouth",""
"4/7/2020","Arsenal",""
"12/7/2020","Everton",""
