Team ID,Team,Avg Home Attendance,Highest Home Attendance,City,Stadium,Cap.,Div
EPL11,Manchester United,"73,404","73,737",Manchester,Old Trafford,74994,E0
EPL0,Arsenal,"60,274","60,383",London,Emirates Stadium,60260,E0
EPL18,West Ham United,"59,891","59,959",London,London Stadium,60000,E0
EPL16,Tottenham Hotspur,"59,485","61,104",London,Tottenham Hotspur Stadium,62062,E0
EPL9,Liverpool,"53,100","53,333",Liverpool,Anfield,54074,E0
EPL12,Newcastle United,"47,942","52,217",Newcastle upon Tyne,St James Park,52405,E0
EPL10,Manchester City,"54,388","54,512",Manchester,Etihad Stadium,55097,E0
EPL1,Aston Villa,"41,661","42,010",Birmingham,Villa Park,42682,E0
EPL7,Everton,"39,133","39,374",Liverpool,Goodison Park,39572,E0
EPL5,Chelsea,"40,553","40,683",London,Stamford Bridge,41631,E0
EPL8,Leicester City,"32,056","32,211",Leicester,King Power Stadium,32312,E0
EPL19,Wolverhampton Wanderers,"31,375","31,746",Wolverhampton,Molineux Stadium,31700,E0
EPL14,Sheffield United,"30,751","32,024",Sheffield,Bramall Lane,32701,E0
EPL3,Brighton & Hove Albion,"30,376","30,640",Brighton,The Amex,30750,E0
EPL15,Southampton,"29,655","31,712",Southampton,St Mary's Stadium,32505,E0
EPL13,Norwich City,"27,026","27,110",Norwich,Carrow Road,27244,E0
EPL6,Crystal Palace,"25,065","25,486",London,Selhurst Park,25456,E0
EPL17,Watford,"20,775","21,488",Watford,Vicarage Road,21577,E0
EPL4,Burnley,"20,398","21,924",Burnley,Turf Moor,22546,E0
EPL2,AFC Bournemouth,"10,498","10,832",Bournemouth,Vitality Stadium,11360,E0
