Date,H/A,Opponent,Attendance
18/8/2019,H,Getafe,"55,099"
25/8/2019,A,Leganés,"11,742"
1/9/2019,H,Eibar,"56,664"
14/9/2019,A,Real Sociedad,"34,719"
18/9/2019,H,Juventus,"66,283"
21/9/2019,H,Celta Vigo,"57,701"
25/9/2019,A,Mallorca,"19,348"
28/9/2019,H,Real Madrid,"68,032"
1/10/2019,A,Lokomotiv Moscow,"27,051"
6/10/2019,A,Real Valladolid,"23,650"
19/10/2019,H,Valencia,"61,603"
22/10/2019,H,Bayer 04 Leverkusen,"56,776"
26/10/2019,H,Athletic Bilbao,"59,211"
29/10/2019,A,Alavés,"17,235"
2/11/2019,A,Sevilla,"39,957"
6/11/2019,A,Bayer 04 Leverkusen,"28,160"
10/11/2019,H,Espanyol,"53,069"
23/11/2019,A,Granada,"17,003"
26/11/2019,A,Juventus,"40,486"
1/12/2019,H,Barcelona,"64,226"
6/12/2019,A,Villarreal,"17,964"
11/12/2019,H,Lokomotiv Moscow,"58,426"
14/12/2019,H,Osasuna,"46,033"
22/12/2019,A,Real Betis,"52,017"
4/1/2020,H,Levante,"59,084"
18/1/2020,A,Eibar,"6,429"
26/1/2020,H,Leganés,"52,767"
1/2/2020,A,Real Madrid,"77,223"
8/2/2020,H,Granada,"54,113"
14/2/2020,A,Valencia,"42,297"
18/2/2020,H,Liverpool,"67,443"
23/2/2020,H,Villarreal,"54,462"
1/3/2020,A,Espanyol,"30,360"
7/3/2020,H,Sevilla,"60,422"
11/3/2020,A,Liverpool,"52,267"
14/6/2020,A,Athletic Bilbao,n/a
17/6/2020,A,Osasuna,n/a
20/6/2020,H,Real Valladolid,n/a
23/6/2020,A,Levante,n/a
27/6/2020,H,Alavés,n/a
30/6/2020,A,Barcelona,n/a
3/7/2020,H,Mallorca,n/a
7/7/2020,A,Celta Vigo,n/a
11/7/2020,H,Real Betis,n/a
16/7/2020,A,Getafe,n/a
