Date,H/A,Opponent,Attendance
25/7/2019,H,Stjarnan,n/a
1/8/2019,A,Stjarnan,"1,020"
8/8/2019,A,FC Luzern,n/a
15/8/2019,H,FC Luzern,n/a
18/8/2019,H,Sevilla,"19,832"
22/8/2019,H,FC Zorya Luhansk,"13,686"
25/8/2019,A,Alavés,"14,567"
29/8/2019,A,FC Zorya Luhansk,"10,181"
1/9/2019,H,Granada,"20,870"
15/9/2019,A,Eibar,"5,410"
19/9/2019,H,Ferencvárosi TC,"18,125"
22/9/2019,H,Real Sociedad,"19,173"
26/9/2019,A,Celta Vigo,"16,361"
29/9/2019,H,Real Valladolid,"20,911"
3/10/2019,A,CSKA Moscow,"22,288"
6/10/2019,A,Mallorca,"15,052"
20/10/2019,H,Villarreal,"20,653"
24/10/2019,A,Ludogorets,"10,334"
27/10/2019,A,Levante,"18,934"
30/10/2019,A,Athletic Bilbao,n/a
2/11/2019,H,Valencia,"18,428"
7/11/2019,H,Ludogorets,"13,963"
10/11/2019,A,Atlético Madrid,"53,069"
24/11/2019,H,Getafe,"22,031"
28/11/2019,A,Ferencvárosi TC,n/a
1/12/2019,H,Osasuna,"21,238"
7/12/2019,A,Real Madrid,"64,125"
12/12/2019,H,CSKA Moscow,"10,615"
15/12/2019,H,Real Betis,"22,248"
22/12/2019,A,Leganés,"10,183"
4/1/2020,H,Barcelona,"33,562"
19/1/2020,A,Villarreal,"12,053"
25/1/2020,H,Athletic Bilbao,"27,542"
1/2/2020,A,Granada,"15,226"
9/2/2020,H,Mallorca,"32,084"
16/2/2020,A,Sevilla,"35,661"
20/2/2020,A,Wolverhampton Wanderers,"30,435"
23/2/2020,A,Real Valladolid,"19,645"
27/2/2020,H,Wolverhampton Wanderers,n/a
1/3/2020,H,Atlético Madrid,"30,360"
8/3/2020,A,Osasuna,"15,737"
13/6/2020,H,Alavés,n/a
16/6/2020,A,Getafe,n/a
20/6/2020,H,Levante,n/a
25/6/2020,A,Real Betis,n/a
28/6/2020,H,Real Madrid,n/a
2/7/2020,A,Real Sociedad,n/a
5/7/2020,H,Leganés,n/a
8/7/2020,A,Barcelona,n/a
12/7/2020,H,Eibar,n/a
16/7/2020,A,Valencia,n/a
