Date,H/A,Opponent,Attendance
17/8/2019,A,Villarreal,"14,753"
23/8/2019,H,Sevilla,"15,849"
1/9/2019,A,Espanyol,"20,870"
15/9/2019,A,Celta Vigo,"18,259"
21/9/2019,H,Barcelona,"18,880"
24/9/2019,A,Real Valladolid,"18,410"
28/9/2019,H,Leganés,"15,519"
5/10/2019,A,Real Madrid,"70,315"
18/10/2019,H,Osasuna,"16,986"
27/10/2019,H,Real Betis,"18,985"
31/10/2019,A,Getafe,"10,227"
3/11/2019,H,Real Sociedad,"16,898"
9/11/2019,A,Valencia,"39,882"
23/11/2019,H,Atlético Madrid,"17,003"
1/12/2019,A,Athletic Bilbao,"37,974"
7/12/2019,H,Alavés,"14,773"
14/12/2019,H,Levante,"14,127"
20/12/2019,A,Eibar,"5,341"
5/1/2020,H,Mallorca,"16,395"
19/1/2020,A,Barcelona,"65,444"
25/1/2020,A,Sevilla,"33,533"
1/2/2020,H,Espanyol,"15,226"
8/2/2020,A,Atlético Madrid,"54,113"
15/2/2020,H,Real Valladolid,"15,782"
23/2/2020,A,Osasuna,"14,866"
29/2/2020,H,Celta Vigo,"15,877"
8/3/2020,A,Levante,"16,168"
12/6/2020,H,Getafe,n/a
15/6/2020,A,Real Betis,n/a
19/6/2020,H,Villarreal,n/a
22/6/2020,A,Leganés,n/a
28/6/2020,H,Eibar,n/a
1/7/2020,A,Alavés,n/a
4/7/2020,H,Valencia,n/a
10/7/2020,A,Real Sociedad,n/a
13/7/2020,H,Real Madrid,n/a
16/7/2020,A,Mallorca,n/a
