Date,H/A,Opponent,Attendance
17/8/2019,H,Osasuna,"10,020"
25/8/2019,H,Atlético Madrid,"11,742"
31/8/2019,A,Real Betis,"47,819"
14/9/2019,H,Villarreal,"7,670"
22/9/2019,A,Valencia,"39,014"
25/9/2019,H,Athletic Bilbao,"11,036"
28/9/2019,A,Granada,"15,519"
5/10/2019,H,Levante,"10,160"
19/10/2019,A,Getafe,"13,018"
26/10/2019,H,Mallorca,"10,058"
30/10/2019,A,Real Madrid,n/a
3/11/2019,H,Eibar,"9,649"
8/11/2019,A,Real Sociedad,"27,684"
23/11/2019,H,Barcelona,"12,110"
1/12/2019,A,Sevilla,"33,648"
8/12/2019,H,Celta Vigo,"7,115"
13/12/2019,A,Alavés,"15,567"
22/12/2019,H,Espanyol,"10,183"
3/1/2020,A,Real Valladolid,"21,492"
17/1/2020,H,Getafe,"11,450"
26/1/2020,A,Atlético Madrid,"52,767"
2/2/2020,H,Real Sociedad,"10,842"
8/2/2020,A,Levante,"17,110"
16/2/2020,H,Real Betis,"11,160"
22/2/2020,A,Celta Vigo,"19,335"
29/2/2020,H,Alavés,"10,043"
8/3/2020,A,Villarreal,"16,143"
13/6/2020,H,Real Valladolid,n/a
16/6/2020,A,Barcelona,n/a
19/6/2020,A,Mallorca,n/a
22/6/2020,H,Granada,n/a
27/6/2020,A,Osasuna,n/a
30/6/2020,H,Sevilla,n/a
5/7/2020,A,Espanyol,n/a
9/7/2020,A,Eibar,n/a
12/7/2020,H,Valencia,n/a
16/7/2020,A,Athletic Bilbao,n/a
