Date,H/A,Opponent,Attendance
18/8/2019,A,Alavés,"12,029"
23/8/2019,H,Villarreal,"20,240"
31/8/2019,H,Real Valladolid,"19,347"
14/9/2019,A,Real Madrid,"60,401"
21/9/2019,H,Eibar,"18,904"
24/9/2019,A,Real Betis,"44,560"
29/9/2019,H,Osasuna,"19,362"
5/10/2019,A,Leganés,"10,160"
20/10/2019,A,Sevilla,"34,612"
27/10/2019,H,Espanyol,"18,934"
30/10/2019,A,Real Sociedad,n/a
2/11/2019,H,Barcelona,"23,341"
10/11/2019,A,Athletic Bilbao,"33,202"
22/11/2019,H,Mallorca,"15,110"
1/12/2019,A,Getafe,"6,535"
7/12/2019,H,Valencia,"23,137"
14/12/2019,A,Granada,"14,127"
22/12/2019,H,Celta Vigo,"18,653"
4/1/2020,A,Atlético Madrid,"59,084"
18/1/2020,H,Alavés,"16,848"
24/1/2020,A,Osasuna,"14,667"
2/2/2020,A,Barcelona,"60,295"
8/2/2020,H,Leganés,"17,110"
15/2/2020,A,Villarreal,"17,269"
22/2/2020,H,Real Madrid,"23,566"
29/2/2020,A,Eibar,"5,920"
8/3/2020,H,Granada,"16,168"
12/6/2020,A,Valencia,n/a
15/6/2020,H,Sevilla,n/a
20/6/2020,A,Espanyol,n/a
23/6/2020,H,Atlético Madrid,n/a
28/6/2020,H,Real Betis,n/a
1/7/2020,A,Real Valladolid,n/a
6/7/2020,H,Real Sociedad,n/a
9/7/2020,A,Mallorca,n/a
12/7/2020,H,Athletic Bilbao,n/a
16/7/2020,A,Celta Vigo,n/a
