Date,H/A,Opponent,Attendance
17/8/2019,H,Eibar,"15,127"
25/8/2019,H,Real Sociedad,"18,028"
1/9/2019,A,Valencia,"40,441"
13/9/2019,H,Athletic Bilbao,"16,390"
22/9/2019,A,Getafe,"11,338"
25/9/2019,H,Atlético Madrid,"19,348"
29/9/2019,A,Alavés,"17,135"
6/10/2019,H,Espanyol,"15,052"
19/10/2019,H,Real Madrid,"20,275"
26/10/2019,A,Leganés,"10,058"
31/10/2019,H,Osasuna,"12,641"
3/11/2019,A,Real Valladolid,"18,419"
10/11/2019,H,Villarreal,"8,348"
22/11/2019,A,Levante,"15,110"
30/11/2019,H,Real Betis,"16,810"
7/12/2019,A,Barcelona,"71,072"
15/12/2019,A,Celta Vigo,"13,247"
21/12/2019,H,Sevilla,"14,321"
5/1/2020,A,Granada,"16,395"
19/1/2020,H,Valencia,"9,856"
26/1/2020,A,Real Sociedad,"29,912"
1/2/2020,H,Real Valladolid,"13,891"
9/2/2020,A,Espanyol,"32,084"
15/2/2020,H,Alavés,"12,329"
21/2/2020,A,Real Betis,n/a
1/3/2020,H,Getafe,"14,241"
7/3/2020,A,Eibar,"6,110"
13/6/2020,H,Barcelona,n/a
16/6/2020,A,Villarreal,n/a
19/6/2020,H,Leganés,n/a
24/6/2020,A,Real Madrid,n/a
27/6/2020,A,Athletic Bilbao,n/a
30/6/2020,H,Celta Vigo,n/a
3/7/2020,A,Atlético Madrid,n/a
9/7/2020,H,Levante,n/a
12/7/2020,A,Sevilla,n/a
16/7/2020,H,Granada,n/a
